ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (m),Width (m),Height (m),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _customize_changeset_uuid
72,simple,,iPhone 7 32GB,1,0,visible,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A10 Fusion 4 nhân,RAM: 2 GB, ROM: 32 GB,Camera: 12 MP, Selfie: 7 MP,PIN: 1960 mAh, SIM: 1 SIM",,,taxable,,1,,0,0,,,,,1,,,15990000₫,iPhone,,,https://cdn.tgdd.vn/Products/Images/42/74110/iphone-7-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
73,simple,,iPhone 6s Plus 32GB,1,0,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A9 2 nhân 64-bit,RAM: 2 GB, ROM: 32 GB,Camera: 12 MP, Selfie: 5 MP,PIN: 2750 mAh",,,taxable,,1,,0,0,,,,,1,,,13990000₫,iPhone,,,https://cdn1.tgdd.vn/Products/Images/42/87846/iphone-6s-plus-32gb-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e1
74,simple,,iPhone 6s 32GB,1,0,visible,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A9 2 nhân,RAM: 2 GB, ROM: 32 GB,Camera: 12 MP, Selfie: 5 MP,PIN: 1715 mAh, SIM: 1 Sim",,,taxable,,1,,0,0,,,,,1,,,12490000₫,iPhone,,,https://cdn2.tgdd.vn/Products/Images/42/87842/iphone-6s-32gb-vang-dong-1-400x400.png,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e2
75,simple,,iPhone 6 32GB,1,0,visible,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A8 2 nhân 64-bit,RAM: 1 GB, ROM: 32 GB,Camera: 8 MP, Selfie: 1.2 MP,PIN: 1810 mAh",,,taxable,,1,,0,0,,,,,1,,,6990000₫,iPhone,,,https://cdn2.tgdd.vn/Products/Images/42/92962/iphone-6-32gb-gold-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e3
76,simple,,Samsung Galaxy S9+ 128GB,1,0,visible,,"Màn hình: 6.2"", Quad HD+ (2K+),HĐH: Android 8.0,CPU: Exynos 9810,RAM: 6 GB, ROM: 128 GB,Camera: 2 camera 12 MP, Selfie: 8 MP,PIN: 3500 mAh, sạc nhanh",,,taxable,,1,,0,0,,,,,1,,,24990000₫,Samsung,,,https://cdn.tgdd.vn/Products/Images/42/154695/samsung-galaxy-s9-plus-128gb-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e4
77,simple,,Samsung Galaxy S9+ 64GB (Xanh san hô),1,0,visible,,"Màn hình: 6.2"", Quad HD+ (2K+),HĐH: Android 8.0 (Oreo),CPU: Exynos 9810 8 nhân,RAM: 6 GB, ROM: 64 GB,Camera: 2 camera 12 MP, Selfie: 8 MP,PIN: 3500 mAh",,,taxable,,1,,0,0,,,,,1,,,23490000₫,Samsung,,,https://cdn.tgdd.vn/Products/Images/42/158340/samsung-galaxy-s9-plus-64gb-xanh-san-ho-2-1-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e5
78,simple,,Samsung Galaxy S9+ 64GB,1,0,visible,,"Màn hình: 6.2"", Quad HD+ (2K+),HĐH: Android 8.0,CPU: Exynos 9810 8 nhân,RAM: 6 GB, ROM: 64 GB,Camera: 2 camera 12 MP, Selfie: 8 MP,PIN: 3500 mAh",,,taxable,,1,,0,0,,,,,1,,,23490000₫,Samsung,,,https://cdn4.tgdd.vn/Products/Images/42/147939/samsung-galaxy-s9-plus-4-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e6
79,simple,,Samsung Galaxy Note 8,1,0,visible,,"Màn hình: 6.3"", Quad HD+ (2K+),HĐH: Android 7.1,CPU: Exynos 8895 8 nhân 64-bit,RAM: 6 GB, ROM: 64 GB,Camera: 2 camera 12 MP, Selfie: 8 MP,PIN: 3300 mAh",,,taxable,,1,,0,0,,,,,1,,,22490000₫,Samsung,,,https://cdn1.tgdd.vn/Products/Images/42/106211/samsung-galaxy-note8-hh-600x600-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e7
80,simple,,Samsung Galaxy S9,1,0,visible,,"Màn hình: 5.8"", Quad HD+ (2K+),HĐH: Android 8.0,CPU: Exynos 9810 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 12 MP, Selfie: 8 MP,PIN: 3000 mAh",,,taxable,,1,,0,0,,,,,1,,,19990000₫,Samsung,,,https://cdn3.tgdd.vn/Products/Images/42/113263/samsung-galaxy-s9-4-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e8
81,simple,,Samsung Galaxy S8 Plus,1,0,visible,,"Màn hình: 6.2"", Quad HD+ (2K+),HĐH: Android 7.0,CPU: Exynos 8895 8 nhân 64-bit,RAM: 4 GB, ROM: 64 GB,Camera: 12 MP, Selfie: 8 MP,PIN: 3500 mAh",,,taxable,,1,,0,0,,,,,1,,,17990000₫,Samsung,,,https://cdn1.tgdd.vn/Products/Images/42/91131/samsung-galaxy-s8-plus-hh-600x600-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e9
